Judge;Sound;Rank;Innovation;Originality;Sobriety;Proximity;Fun;Premium;Simplicity;Freedom;Human;Technology;Conviviality;Complexity;Popular;Serious;International;Passion;Artisanal;Traditional;Performance;Joyful;Surprising;Exciting;Energetic;Sensual;Sad;Warm;Serious;Adequation;Why;Tempo;Pitch;Instrument
6;V_160_1;2;1;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;JAR;JAR;ne;JAR;ne;JAR;ne;JAR;6;quite innovative;160;1;Violon
6;A_80_3;3;1;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;JAR;JAR;ne;ne;ne;JAR;ne;t;5;too traditional;80;3;Accordion
6;P_160_5;4;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;JAR;t;ne;r_ne;ne;JAR;ne;r_ne;3;not energetic enough, not serious enough;160;5;Piano
6;V_120_5;5;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;ne;JAR;r_ne;r_ne;r_ne;ne;ne;ne;2;not energetic enough;120;5;Violon
6;P_80_5;6;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;ne;ne;r_ne;r_ne;r_ne;r_ne;r_ne;r_ne;1;too simplistic;80;5;Piano
6;P_80_3;7;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;JAR;ne;ne;ne;ne;JAR;JAR;JAR;4;restores the seriousness of the company;80;3;Piano
6;A_120_5;8;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;t;JAR;ne;ne;ne;JAR;ne;ne;3;not serious enough;120;5;Accordion
6;V_80_1;9;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;ne;ne;ne;ne;JAR;JAR;JAR;JAR;4;too serious;80;1;Violon
6;A_160_3;10;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;JAR;ne;ne;JAR;JAR;JAR;JAR;JAR;5;serious, warm, not innovative enough;160;3;Accordion
6;V_160_5;11;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;JAR;t;ne;ne;ne;ne;ne;ne;3;not serious enough, too light;160;5;Violon
6;A_120_1;12;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;ne;JAR;ne;ne;r_ne;t;ne;t;3;too solemn, too sad;120;1;Accordion
7;A_80_5;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;ne;JAR;ne;r_ne;ne;t;ne;JAR;3;too acute;80;5;Accordion
7;V_160_3;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;JAR;JAR;JAR;t;ne;JAR;ne;JAR;6;quite dry, quite brief;160;3;Violon
7;A_120_3;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;ne;JAR;ne;ne;r_ne;JAR;ne;JAR;2;lack of proximity;120;3;Accordion
7;P_120_3;4;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;1;0;0;0;JAR;ne;ne;JAR;JAR;JAR;ne;JAR;7;sticks well with technology and innovation;120;3;Piano
