ID_juge;Produit;Classe_hedo;decription_corrig;Note;JP;JxCH
39;F;j'aime beaucoup;tissus semble bonne qualite;8;39_F;39_j'aime beaucoup
39;G;je n'aime pas;pas assez;1;39_G;39_je n'aime pas
39;H;j'aime un peu;j' aime peu car semble resistant;4;39_H;39_j'aime un peu
39;I;je n'aime pas;pas assez;1;39_I;39_je n'aime pas
39;J;j'aime beaucoup;tissus semble resistant probablement peu salissant;10;39_J;39_j'aime beaucoup
40;A;j'aime un peu;juste bien;2;40_A;40_j'aime un peu
40;B;je n'aime pas;n' aime pas trop lisse;1;40_B;40_je n'aime pas
40;C;j'aime un peu;tres doux;3;40_C;40_j'aime un peu
40;D;j'aime un peu;tres jolie;4;40_D;40_j'aime un peu
40;E;j'aime beaucoup;juste bien;9;40_E;40_j'aime beaucoup
40;F;j'aime un peu;tres nul;4;40_F;40_j'aime un peu
40;G;j'aime beaucoup;juste bien;10;40_G;40_j'aime beaucoup
40;H;je n'aime pas;pas assez;1;40_H;40_je n'aime pas
40;I;j'aime un peu;pas confortable;3;40_I;40_j'aime un peu
40;J;j'aime beaucoup;juste bien;10;40_J;40_j'aime beaucoup
41;A;j'aime un peu;toucher agreable mais coroneux donc difficile a entretenir trois enfants;3;41_A;41_j'aime un peu
41;B;je n'aime pas;trop epais rugueux va accrocher toutes saletes;1;41_B;41_je n'aime pas
41;C;j'aime beaucoup;agreable chaleureux joli semble resistant;7;41_C;41_j'aime beaucoup
41;D;je n'aime pas;idem trop possibilites d' accrocher toutes saletes;0;41_D;41_je n'aime pas
41;E;j'aime un peu;toucher agreable sensation chaleureuse probablement probableme fragile ;5;41_E;41_j'aime un peu
41;F;j'aime un peu;doux tissage serre semble solide confortable confirtable;6;41_F;41_j'aime un peu
41;G;je n'aime pas;toucher desagreable impression bas gamme;0;41_G;41_je n'aime pas
41;H;j'aime un peu;doux agreable tissage serre semble facile d' entretien;6;41_H;41_j'aime un peu
41;I;j'aime un peu;agreable toucher entretien semble facile mais pas tres joli;5;41_I;41_j'aime un peu
41;J;j'aime beaucoup;fait rever donne l' impression d' etre voiture luxe peu reve;9;41_J;41_j'aime beaucoup
42;A;j'aime un peu;doux toucher;6;42_A;42_j'aime un peu
42;B;je n'aime pas;trop raide;3;42_B;42_je n'aime pas
42;C;j'aime un peu;eclat;7;42_C;42_j'aime un peu
42;D;j'aime un peu;jolie texture;7;42_D;42_j'aime un peu
42;E;je n'aime pas;terne;4;42_E;42_je n'aime pas
42;F;j'aime un peu;doux toucher;6;42_F;42_j'aime un peu
42;G;je n'aime pas;pas facile toucher;3;42_G;42_je n'aime pas
42;H;j'aime un peu;facile toucher;6;42_H;42_j'aime un peu
42;I;je n'aime pas;pas beau a voir;2;42_I;42_je n'aime pas
42;J;j'aime beaucoup;joli motif cote cuir;9;42_J;42_j'aime beaucoup
43;A;je n'aime pas;trop rugueux;2;43_A;43_je n'aime pas
43;B;je n'aime pas;pas assez lisse;2;43_B;43_je n'aime pas
43;C;j'aime un peu;pas assez epais;4;43_C;43_j'aime un peu
43;D;je n'aime pas;trop attrape poussier;2;43_D;43_je n'aime pas
43;E;j'aime beaucoup;juste bien toucher;8;43_E;43_j'aime beaucoup
43;F;j'aime un peu;pas assez doux;5;43_F;43_j'aime un peu
43;G;je n'aime pas;pas assez rigide;2;43_G;43_je n'aime pas
43;H;j'aime un peu;trop collant;4;43_H;43_j'aime un peu
43;I;je n'aime pas;pas assez lisse;2;43_I;43_je n'aime pas
43;J;j'aime beaucoup;juste bien confort;9;43_J;43_j'aime beaucoup
44;A;j'aime beaucoup;fait naturel comme melange coton;6;44_A;44_j'aime beaucoup
44;B;j'aime un peu;plutot confortable mais trop stries pas agreable contact peau;5;44_B;44_j'aime un peu
44;C;j'aime beaucoup;agreable contact peau plutot confort;7;44_C;44_j'aime beaucoup
44;D;je n'aime pas;tissus fait peluche;5;44_D;44_je n'aime pas
44;E;j'aime beaucoup;doux aspet velours;7;44_E;44_j'aime beaucoup
44;F;j'aime un peu;pas assez doux;5;44_F;44_j'aime un peu
44;G;j'aime beaucoup;doux molletonne confortable;8;44_G;44_j'aime beaucoup
44;H;je n'aime pas;sec;6;44_H;44_je n'aime pas
